36;18
7;7
23;4
83;18
58;19
87;1
78;16
37;7
88;8
87;14
46;12
51;7
35;11
6;16
17;3
89;6
15;5
93;7
81;2
50;15
32;15
1;17
83;4
96;7
78;2
63;11
22;2
46;3
56;4
60;13
35;11
48;17
99;14
49;19
12;9
29;4
76;10
3;5
37;3
83;16
3;9
91;4
90;18
3;2
59;2
17;3
90;11
3;19
43;13
56;3
64;18
43;10
24;3
100;20
7;1
0;1
66;2
35;2
63;9
89;9
41;16
18;10
25;15
55;6
71;9
95;10
63;19
18;17
14;15
8;15
83;1
26;5
99;17
58;13
28;5
55;9
1;11
89;14
16;15
6;14
88;12
57;2
1;9
63;11
78;18
8;11
3;13
27;16
23;12
100;10
2;10
84;17
92;15
16;4
82;14
37;18
22;7
3;3
30;15
6;10
